created_at,value_ultrasonic,value_matchface,hour
2024-11-01 02:32:26,1,0,2
2024-11-01 02:32:32,1,0,2
2024-11-01 02:32:38,1,0,2
2024-11-01 02:32:44,1,0,2
2024-11-01 02:32:50,1,0,2
2024-11-01 02:32:56,1,0,2
2024-11-01 02:33:02,1,0,2
2024-11-01 02:33:08,1,0,2
2024-11-01 02:33:14,1,0,2
2024-11-01 02:33:20,1,0,2
2024-11-01 02:40:33,1,0,2
2024-11-01 02:40:39,1,0,2
2024-11-01 02:40:45,1,0,2
2024-11-01 02:40:51,1,0,2
2024-11-01 02:40:57,1,0,2
2024-11-01 02:41:03,1,0,2
2024-11-01 02:41:09,1,0,2
2024-11-01 02:41:15,1,0,2
2024-11-01 02:41:21,1,0,2
2024-11-01 02:41:27,1,0,2
2024-11-01 02:41:33,1,0,2
2024-11-01 02:41:39,1,0,2
2024-11-01 02:41:45,1,0,2
2024-11-01 02:41:51,1,0,2
2024-11-01 02:41:57,1,0,2
2024-11-01 02:42:03,1,0,2
2024-11-01 02:43:44,1,0,2
2024-11-01 02:43:50,1,0,2
2024-11-01 02:43:56,1,0,2
2024-11-01 02:44:02,1,0,2
2024-11-01 02:44:08,1,0,2
2024-11-01 02:44:14,1,0,2
2024-11-01 02:44:20,1,-1,2
2024-11-01 02:44:26,1,0,2
2024-11-01 02:45:13,1,0,2
2024-11-01 02:45:19,1,0,2
2024-11-01 02:45:25,1,0,2
2024-11-01 02:45:31,1,0,2
2024-11-01 02:46:09,1,-1,2
2024-11-01 02:46:15,1,0,2
2024-11-01 02:46:21,1,0,2
2024-11-01 02:46:27,1,0,2
2024-11-01 02:46:33,1,0,2
2024-11-01 02:46:39,1,0,2
2024-11-01 02:46:45,1,0,2
2024-11-01 02:46:51,1,0,2
2024-11-01 02:46:57,1,0,2
2024-11-01 02:47:03,1,0,2
2024-11-01 02:47:09,1,0,2
2024-11-01 02:47:15,1,0,2
2024-11-01 02:47:21,1,0,2
2024-11-01 02:47:27,1,0,2
2024-11-01 02:47:33,1,0,2
2024-11-01 03:04:37,1,0,3
2024-11-01 03:04:43,1,0,3
2024-11-01 03:04:49,1,0,3
2024-11-01 03:04:55,1,0,3
2024-11-01 03:05:01,1,0,3
2024-11-01 03:05:07,1,0,3
2024-11-01 03:05:13,1,0,3
2024-11-01 03:05:19,1,0,3
2024-11-01 03:05:25,1,0,3
2024-11-01 03:05:31,1,0,3
2024-11-01 03:05:37,1,0,3
2024-11-01 03:05:43,1,0,3
